"Distance","Season","Day","Replica","nsp","abu","bio","spor","sumb","lmer","soff"
"Near","Summer",1,1,6,13,1876.7,265.4,0,1154.8,0
"Near","Summer",1,2,8,31,3917.4,326.1,105.5,318.9,1
"Near","Summer",1,3,6,10,1895.5,347.7,0,866.9,0
"Near","Summer",1,4,5,13,2066.1,329.2,0,1138.7,0
"Near","Summer",1,5,9,14,2338.1,102.4,197.3,1115.1,0
"Near","Summer",1,6,5,12,3009.5,290,360.9,1424.5,0
"Near","Summer",2,1,5,9,2109,71.8,364.5,1228.6,0
"Near","Summer",2,2,10,20,2471.8,447,247.4,586.5,0
"Near","Summer",2,3,11,21,3787,212.5,0,1791.2,0.9
"Near","Summer",2,4,4,16,2484.9,476.5,1231.5,484.1,0
"Near","Summer",2,5,7,14,2016.8,423.3,197.3,1052.8,1
"Near","Summer",2,6,7,16,3030.7,140.7,906.3,933.5,0
"Near","Summer",3,1,2,4,757.6,0,0,756.4,0
"Near","Summer",3,2,4,10,2715.8,379.9,762.3,1262.1,0
"Near","Summer",3,3,7,16,3259.3,515.8,1267.3,987.5,0
"Near","Summer",3,4,5,8,1805.7,174.1,393.2,458.2,0
"Near","Summer",3,5,3,6,945.6,226.9,0,642.9,0
"Near","Summer",3,6,9,11,1682.2,174.1,175.8,318.9,1
"Near","Summer",4,1,6,15,3428.1,120.5,885.7,1645.4,0
"Near","Summer",4,2,5,5,618.4,0,57.1,286.3,1
"Near","Summer",4,3,7,15,1969.2,0,423.3,1035.4,2.3
"Near","Summer",4,4,6,15,2911.7,703.5,0,1629.1,0
"Near","Summer",4,5,6,15,3604.6,120.5,364.5,2146.8,0
"Near","Summer",4,6,5,14,3167.8,222.9,155.9,2232.3,0
"Near","Summer",5,1,4,10,2326.3,283.6,175.8,1513,0
"Near","Summer",5,2,6,12,2470.5,251.3,1262,156.4,0
"Near","Summer",5,3,7,14,1697.8,312.8,105.5,992.8,2
"Near","Summer",5,4,6,15,2442.9,465.2,0,868.5,0
"Near","Summer",5,5,7,13,2382,367.6,436.4,833.3,0
"Near","Summer",5,6,10,25,4254.6,713.2,469.7,1556.9,0
"Near","Summer",6,1,5,14,2467.6,433.6,399.4,1507.2,0
"Near","Summer",6,2,5,10,1566.6,283.6,155.9,720.7,0
"Near","Summer",6,3,5,10,1756.2,244.1,0,1292.4,0
"Near","Summer",6,4,8,12,1481.8,120.5,0,380.4,0
"Near","Summer",6,5,10,17,2418.5,375.5,184.3,593.6,0
"Near","Summer",6,6,5,11,2025.2,485,0,1259.7,0
"Near","Winter",1,1,8,15,3723.8,86.2,623,575,321.6
"Near","Winter",1,2,12,39,7003.6,1472.3,469.4,406.3,309.8
"Near","Winter",1,3,11,39,6864.2,1497.9,1140.2,1553.7,0
"Near","Winter",1,4,12,39,7157.3,448.2,1147.7,1166.5,0
"Near","Winter",1,5,10,41,6415.3,868.8,680.3,1820,563.1
"Near","Winter",1,6,11,46,8681.4,276.5,1858.7,2087.3,0
"Near","Winter",2,1,4,13,3015,532,175.8,2014.3,0
"Near","Winter",2,2,5,14,3463.9,804.4,0,838.5,0
"Near","Winter",2,3,11,20,4474.9,174.1,414.4,286.3,309.8
"Near","Winter",2,4,10,24,5237.9,587.4,822.7,1001.5,253.3
"Near","Winter",2,5,6,18,2898.4,743.2,120.8,1226.4,0
"Near","Winter",2,6,8,24,5249.7,319.4,856.6,1836.2,414.1
"Near","Winter",3,1,6,13,2266.6,633.5,245.5,178.3,124.1
"Near","Winter",3,2,7,13,2506.2,600.5,592.4,774.8,93.2
"Near","Winter",3,3,7,15,2850.8,563.7,0,816.1,445.5
"Near","Winter",3,4,10,17,6638.4,0,864,202.1,506.6
"Near","Winter",3,5,7,16,3153.5,377.6,258.5,228,766.9
"Near","Winter",3,6,6,11,1826.9,281.4,0,354,878
"Near","Winter",4,1,9,21,3566.2,704.7,137.6,800.7,160.8
"Near","Winter",4,2,5,19,2770.1,1248.6,451.1,0,0
"Near","Winter",4,3,8,27,5811.9,1814.1,1120.8,1652.4,0
"Near","Winter",4,4,7,26,4296.7,1523.1,394.6,1597.4,0
"Near","Winter",4,5,8,23,5128.9,833.8,518.4,608.4,414.1
"Near","Winter",4,6,8,24,4907.7,1445.3,689.9,659.7,203.7
"Near","Winter",5,1,5,15,2239.5,1113.2,0,256.1,513.6
"Near","Winter",5,2,7,17,4444.1,578.1,2546,475.4,253.3
"Near","Winter",5,3,8,20,4182,385.9,2297.8,312.8,525.4
"Near","Winter",5,4,8,17,3433.7,843.2,730,732,346.5
"Near","Winter",5,5,6,20,4498.3,1079.5,2832.8,86.9,0
"Near","Winter",5,6,6,18,4407.8,838.9,2350.4,896.5,0
"Near","Winter",6,1,7,13,2417.1,490.5,275.3,542.4,253.3
"Near","Winter",6,2,8,17,2981.6,612.8,155.9,750.6,457
"Near","Winter",6,3,7,19,3372.1,779.1,137.6,876,817.5
"Near","Winter",6,4,5,12,2060.4,359.4,0,575,658.7
"Near","Winter",6,5,6,13,1939.2,570.2,0,178.3,327.8
"Near","Winter",6,6,6,10,1491.6,675.6,0,202.1,124.1
"Near","Spring",1,1,3,5,859.9,71.8,0,431.6,0
"Near","Spring",1,2,2,3,805.3,0,0,0,0
"Near","Spring",1,3,4,5,1801.5,102.4,607.7,0,513.6
"Near","Spring",1,4,3,3,546.6,140.7,0,318.9,0
"Near","Spring",1,5,3,7,1569,0,0,475.4,755.4
"Near","Spring",1,6,6,9,2467.8,249.2,0,356.6,0
"Near","Spring",2,1,3,11,1566.4,271.5,0,488.4,0
"Near","Spring",2,2,3,4,767.9,199.8,0,0,0
"Near","Spring",2,3,1,7,700,700,0,0,0
